Section,Group
0,No group
1,Tasu/Gowgaia
2,Prt Louis/Chanal
3,Seal/Rennel/Kano
4,Skidegate/Buck Chan
5,Englefield
6,Louscoone
11,Massett
12,Naden
21,Juan Perez/Skincuttle
22,Skidegate
23,Cumshewa/Selwyn
24,Cumshewa/Selwyn
25,Juan Perez/Skincuttle
31,Big B
32,Big B
33,Big B
40,Big B
41,Big B
42,Big B
43,Kitkatla
50,Kitkatla
51,Kitkatla
52,Kitkatla
53,Kitkatla
67,06&07
70,06&07
71,06&07
72,06&07
73,06&07
74,06&07
75,06&07
76,06&07
77,06&07
78,06&07
79,06&07
85,8
86,8
132,Lazo
135,Lazo
140,14&17
141,Lazo
142,14&17
143,14&17
150,ESoG
151,ESoG
152,ESoG
160,ESoG
161,ESoG
162,ESoG
163,ESoG
164,ESoG
165,ESoG
170,14&17
171,14&17
172,14&17
173,SDodd
180,SDodd
181,SDodd
182,SDodd
190,SDodd
191,SDodd
192,SDodd
193,SDodd
230,SA 23 unkn
231,Alberni Int
232,Barkley
233,Barkley
239,SA 23 unkn
240,SA 24 unkn
241,Tofino Int
242,Hesquiat
243,Hootla Kootla
244,Ahousaht
245,Vargas Is
249,SA 24 unkn
250,SA 25 unkn
251,Nootka
252,Nootka
253,Nuchatlitz/Ehattesaht
259,SA 25 unkn
270,No group
271,No group
272,No group
273,No group
274,No group
280,ESoG
291,ESoG
292,ESoG
